Dealer,Year,Brand,Model,Price
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$67,100"
Capitol Ford,2023 , Ford , Mustang Mach-E California Route ,"$74,875"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$85,195"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$79,435"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$85,195"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$77,575"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$75,370"
Frontier Ford,2022 , Ford , Mustang Mach-E Select,"$62,530"
Frontier Ford,2022 , Ford , Mustang Mach-E Select,"$59,590"
Frontier Ford,2022 , Ford , Mustang Mach-E California Route ,"$68,880"
Frontier Ford,2022 , Ford , Mustang Mach-E Premium,"$73,735"
Frontier Ford,2022 , Ford , Mustang Mach-E Select,"$62,530"
Sunnyvale Ford,2022 , Ford , Mustang Mach-E California Route ,"$66,485"
Frontier Ford,2022 , Ford , Mustang Mach-E Select,"$66,595"
Sunnyvale Ford,2022 , Ford , Mustang Mach-E Premium,"$60,110"
Sunnyvale Ford,2022 , Ford , Mustang Mach-E GT,"$76,165"
Frontier Ford,2022 , Ford , Mustang Mach-E GT,"$81,800"
Sunnyvale Ford,2022 , Ford , Mustang Mach-E California Route ,"$66,245"
Frontier Ford,2022 , Ford , Mustang Mach-E Select,"$59,590"
Frontier Ford,2022 , Ford , Mustang Mach-E California Route ,"$70,845"
Frontier Ford,2022 , Ford , Mustang Mach-E Premium,"$73,495"
Frontier Ford,2022 , Ford , Mustang Mach-E Premium,"$70,795"
Frontier Ford,2022 , Ford , Mustang Mach-E California Route ,"$70,845"
Frontier Ford,2021 , Ford , Mustang Mach-E California Route ,Not Priced
Frontier Ford,2022 , Ford , Mustang Mach-E Select,Not Priced
Frontier Ford,2022 , Ford , Mustang Mach-E California Route ,Not Priced
Frontier Ford,2021 , Ford , Mustang Mach-E Premium,Not Priced
Serramonte Ford,2022 , Ford , Mustang Mach-E California Route ,"$69,530"
Serramonte Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Serramonte Ford,2023 , Ford , Mustang Mach-E California Route ,Not Priced
Serramonte Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Watsonville Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Watsonville Ford,2022 , Ford , Mustang Mach-E California Route ,Not Priced
Watsonville Ford,2023 , Ford , Mustang Mach-E GT,Not Priced
Watsonville Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
North Bay Ford,2023 , Ford , Mustang Mach-E GT,Not Priced
North Bay Ford,2022 , Ford , Mustang Mach-E California Route ,Not Priced
Paso Robles Ford,2022 , Ford , Mustang Mach-E Premium,"$57,815"
Corwin Ford,2023 , Ford , Mustang Mach-E GT,"$77,195"
Corwin Ford,2023 , Ford , Mustang Mach-E Premium,"$68,615"
Corwin Ford,2023 , Ford , Mustang Mach-E Premium,"$59,710"
Gaudin Ford,2022 , Ford , Mustang Mach-E GT,Not Priced
Steves Hometown Motors,2023 , Ford , Mustang Mach-E Premium,"$68,610"
Price Ford of Simi Valley,2022 , Ford , Mustang Mach-E GT,"$87,405"
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E California Route ,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E California Route ,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
